[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    width = 1
    "θ" = 0
    r = 0

        [setup.suns.color]
        r = 0
        g = 1
        b = 0

[experiment]
datetime = 2023-12-05T11:10:24.559Z

ms,x,y,θ,start1,stop1,red1,green1,blue1
16642,242.96475845131965,302.51619991358297,-2.5895817774220062,1,1,0,255,0
16678,244.01318842543205,302.0464483555479,-2.5525777977423223,1,1,0,255,0
16709,244.24062770009598,302.318273892353,-2.5385574550969925,1,1,0,255,0
16741,244.1166314704492,302.988010395816,-2.5275713854601927,1,1,0,255,0
16777,244.50710513684896,302.871749822031,-2.5310791288828387,1,1,0,255,0
16809,245.58958543996854,302.29581865447483,-2.536253351481455,1,1,0,255,0
16842,245.94191066925808,302.08206678006036,-2.534207995637425,1,1,0,255,0
16878,246.26728502699504,302.38171859418605,-2.5182693856016134,1,1,0,255,0
16909,246.48907289133183,302.7414927733033,-2.4932099062913515,1,1,0,255,0
16942,246.91526054341412,302.83769077487455,-2.47395985485794,1,1,0,255,0
16977,247.79283983046093,303.03847125155966,-2.4490740030893354,1,1,0,255,0
17010,248.02406348619047,303.2392589874729,-2.4057309688977453,1,1,0,255,0
17041,248.61661398170907,302.79943934620394,-2.3686175520802397,1,1,0,255,0
17078,248.6674252379832,302.315601013143,-2.339348061830577,1,1,0,255,0
17110,248.49267362081983,301.8374758525964,-2.3158526776499366,1,1,0,255,0
17142,248.69785506463543,301.507411375046,-2.2766995231212683,1,1,0,255,0
17178,249.1627082525339,300.8202152151713,-2.3105617606686577,1,1,0,255,0
17210,249.56606993233547,299.96065416138674,-2.39648807358415,1,1,0,255,0
17243,249.43503777172833,299.4142860532657,-2.483917883070233,1,1,0,255,0
17278,248.51716684524604,299.73181771912743,-2.537859781971588,1,1,0,255,0
17310,248.02874208961708,300.2136548605628,-2.6045346254120396,1,1,0,255,0
17341,248.12220991385004,300.32643946094095,-2.7306573182855223,1,1,0,255,0
17388,248.44233054489195,300.3446315728234,-2.9011050802800735,1,1,0,255,0
17409,248.5609020595346,300.8804661826063,-3.0059901748458673,1,1,0,255,0
17442,249.7350738636041,301.73807000514915,-3.0792598523332804,1,1,0,255,0
17474,250.16730547199938,301.1649386892289,3.090223901741731,1,1,0,255,0
17510,250.6252472233914,300.75307613877237,2.954965149479518,1,1,0,255,0
17542,250.0341264609711,301.017599659436,2.898635638788185,1,1,0,255,0
17574,249.79898135988478,301.7380756337058,2.8491641890824733,1,1,0,255,0
17609,249.71965446982477,301.2563403082636,2.712197423469121,1,1,0,255,0
17641,250.01307098425644,300.40256651638975,2.5591970595301063,1,1,0,255,0
17674,250.0026484510966,300.49836573164464,2.4972320169442126,1,1,0,255,0
17710,249.67436814319046,301.0289362657931,2.4311598424391443,1,1,0,255,0
17741,249.83373579089076,300.98988479833235,2.3713175567814644,1,1,0,255,0
17774,250.45990924024926,300.60736178031743,2.336708367848006,1,1,0,255,0
17810,250.6472556107916,300.2825674359974,2.299216619461852,1,1,0,255,0
17842,250.58753957828165,300.32343389593564,2.2705059699133843,1,1,0,255,0
17874,250.9535149616302,299.9488120572986,2.233766966599431,1,1,0,255,0
17909,251.69787141254568,299.58990466579843,2.180487816122231,1,1,0,255,0
17942,252.5652720792453,299.1371864804596,2.1240321927909678,1,1,0,255,0
17974,253.06668476934314,298.6220448427842,2.0620944959917153,1,1,0,255,0
18010,253.211032671902,298.0418016995786,2.0001388836388942,1,1,0,255,0
18042,253.53699270520815,297.91527892690317,1.9724797066891895,1,1,0,255,0
18074,253.49334133438887,297.5070286187798,1.9326149601825928,1,1,0,255,0
18110,253.47909496497152,296.92852359045673,1.884035558041701,1,1,0,255,0
18142,253.757500237823,296.6712935754929,1.866749518467994,1,1,0,255,0
18174,254.02527705828408,296.4115275801452,1.8403442906038578,1,1,0,255,0
18209,254.22218240397928,296.32046134618736,1.7987687111088473,1,1,0,255,0
18242,254.05493389698864,296.09456796726636,1.7150719302338253,1,1,0,255,0
18274,253.95072030409955,296.59375250594854,1.6394445567262317,1,1,0,255,0
18310,253.88949956768866,296.8392466959191,1.5249255076763357,1,1,0,255,0
18342,254.35712004702987,297.3411313559178,1.490570314533517,1,1,0,255,0
18374,254.19852845990005,297.84931618992744,1.4654685210465754,1,1,0,255,0
18410,253.75846202419194,298.43237203787794,1.4489383598641314,1,1,0,255,0
18442,253.77261622340095,298.90597070840306,1.4420559996780422,1,1,0,255,0
18474,254.50301466087865,299.3505336879183,1.46072640462349,1,1,0,255,0
18509,254.79816933729785,299.9853117120502,1.4714974557653606,1,1,0,255,0
18542,254.56133589039,300.69356978339346,1.4920167108180884,1,1,0,255,0
18574,254.11906518945932,300.85361786216583,1.50559806583203,1,1,0,255,0
18609,254.16941437871535,300.85686393395605,1.523591447037728,1,1,0,255,0
18642,254.21155284086078,300.6325922363053,1.5238728226263785,1,1,0,255,0
18674,254.54443051054596,300.62359140735225,1.540128822133674,1,1,0,255,0
18710,254.39840084417577,301.00808160238716,1.6085295108667088,1,1,0,255,0
18741,255.02393744551824,302.7552447511998,1.7932699809512127,1,1,0,255,0
18773,254.63535177381272,305.0020385301809,1.9576751965076125,1,1,0,255,0
18810,253.77487822054758,306.3953325251035,2.0472716956438446,1,1,0,255,0
18841,253.3577888218964,307.1556154707647,2.1143407385579196,1,1,0,255,0
18873,253.36752978271977,308.0429127911136,2.172465935392668,1,1,0,255,0
18909,253.5685001716782,308.60745767127014,2.2350716166479003,1,1,0,255,0
18974,254.0454387219806,307.9096446413713,2.2407115688399037,1,1,0,255,0
19009,253.90867429016697,307.55094633688526,2.259280611928711,1,1,0,255,0
19074,253.1050576500368,306.0195504402743,2.2574690992792235,1,1,0,255,0
19109,253.13130448119,304.5754901553279,2.2385538246564094,1,1,0,255,0
19142,253.3808563143254,302.98316193231415,2.2197763001121533,1,1,0,255,0
19174,253.4602509169036,301.45831688904605,2.195384277897132,1,1,0,255,0
19210,252.6397978159652,300.6353187084758,2.183255176330283,1,1,0,255,0
19242,252.4787168145558,300.1037827946101,2.1931245473688454,1,1,0,255,0
19273,252.25694334983106,299.2879553878927,2.191495650763848,1,1,0,255,0
19310,252.2065394310212,298.37419459121617,2.180217040072163,1,1,0,255,0
19343,252.0574867187745,297.89771804137075,2.180089300807435,1,1,0,255,0
19374,251.8565365905483,297.2656696190298,2.1695576473251608,1,1,0,255,0
19410,251.3640764187049,296.8669308968497,2.1597839626813577,1,1,0,255,0
19442,250.75767769861662,296.63875573259907,2.16614923673881,1,1,0,255,0
19474,250.5569841152645,296.2506562118589,2.1625783515857644,1,1,0,255,0
19509,250.1629458560221,295.9359765102894,2.156367746668519,1,1,0,255,0
19541,249.62337075013093,296.078176169642,2.1520928976018388,1,1,0,255,0
19574,249.59457042057434,296.0156335223335,2.143175469146707,1,1,0,255,0
19610,249.91902769687655,296.09502284076734,2.1426026129132,1,1,0,255,0
19643,249.97969035662882,295.8064111540727,2.1398471068274336,1,1,0,255,0
19673,249.97407458012668,295.65540985304875,2.1320759143411836,1,1,0,255,0
19706,250.2417089573193,295.392199551216,2.1364028419512473,1,1,0,255,0
19742,249.85081973591554,295.2003282669736,2.1318034303266096,1,1,0,255,0
19774,249.41150645866483,295.13199325237184,2.127005337990221,1,1,0,255,0
19806,248.81654508725484,294.8633823594821,2.1164592866669727,1,1,0,255,0
